English,Portuguese
you,tu
I,eu
to,para
the,a
a,uma
and,e
that,naquela
it,isto
of,do
me,mim
what,o que
is,é
in,no
this,isto
know,conhecer
I'm,Eu estou
for,para
no,não
have,tenho
my,minha
don't,não
just,somente
not,não
do,Faz
be,ser
on,sobre
your,sua
was,era
we,nós
it's,Está
with,com
so,tão
but,mas
all,tudo
well,Nós vamos
are,estão
he,ele
oh,Oh
about,cerca de
right,direito
you're,você é
get,pegue
here,aqui
out,Fora
going,indo
like,gostar
yeah,sim
if,E se
her,dela
she,ela
can,posso
up,acima
want,quer
think,pensar
that's,isso é
now,agora
go,ir
him,dele
at,no
how,Como as
got,conseguiu
there,lá
one,1
did,fez
why,porque
see,Vejo
come,vir
good,Boa
they,elas
really,realmente
as,Como
would,seria
look,olhar
when,quando
time,Tempo
will,vai
okay,Certo
back,de volta
can't,não pode
mean,quer dizer
tell,contar
I'll,eu vou
from,a partir de
hey,Ei
were,estavam
he's,ele é
could,poderia
didn't,não
yes,sim
his,seu
been,estive
or,ou
something,algo
who,quem
because,Porque
some,algum
had,teve
then,então
say,dizer
ok,OK
take,leva
an,um
way,caminho
us,nós
little,pequeno
make,faço
need,necessidade
gonna,vai
never,nunca
we're,estamos
too,também
love,amar
she's,ela é
I've,Eu tenho
sure,certo
them,eles
more,mais
over,sobre
our,nosso
sorry,desculpa
where,Onde
what's,o que é
let,deixar
thing,coisa
am,sou
maybe,pode ser
down,baixa
man,cara
has,tem
uh,Uh
very,muito
by,por
there's,há
should,deve
anything,nada
said,disse
much,Muito de
any,algum
life,vida
even,até
off,desligado
please,por favor
doing,fazendo
thank,obrigado
give,dar
only,só
thought,pensei
help,ajuda
two,dois
talk,falar
people,pessoas
god,Deus
still,ainda
wait,esperar
into,em
find,achar
nothing,nada
again,novamente
things,coisas
let's,vamos
doesn't,não
call,ligar
told,contado
great,excelente
before,antes
better,Melhor
ever,sempre
night,noite
than,que
away,longe
first,primeiro
believe,acreditam
other,de outros
feel,sentir
everything,tudo
work,trabalhar
you've,você tem
fine,multar
home,casa
after,depois de
last,último
these,esses
day,dia
keep,guarda
does,faz
put,colocar
around,por aí
stop,Pare
they're,eles estão
I'd,Identificação
guy,cara
long,grande
isn't,não é
always,sempre
listen,ouço
wanted,procurado
Mr.,Senhor.
guys,galera
huh,Hã
those,Essa
big,grande
lot,muito
happened,ocorrido
thanks,obrigado
won't,não vai
trying,tentando
kind,Gentil
wrong,errado
through,Através dos
talking,falando
made,feito
new,novo
being,ser
guess,acho
hi,Oi
care,Cuidado
bad,mau
mom,mãe
remember,lembrar
getting,obtendo
we'll,Nós vamos
together,juntos
dad,Papai
leave,sair
mother,mãe
place,"Lugar, colocar"
understand,Compreendo
wouldn't,não faria
actually,na realidade
hear,ouvir
baby,bebê
nice,legais
father,pai
else,outro
stay,fique
done,feito
wasn't,não foi
their,seus
course,curso
might,poderia
mind,mente
every,cada
enough,o suficiente
try,Experimente
hell,inferno
came,veio
someone,alguém
you'll,você vai
own,ter
family,família
whole,todo
another,outro
house,casa
jack,Jack
yourself,você mesma
idea,ideia
ask,perguntar
best,melhor
must,deve
coming,chegando
old,velho
looking,Procurando
woman,mulher
hello,Olá
which,que
years,anos
room,sala
money,dinheiro
left,deixou
knew,sabia
tonight,esta noite
real,real
son,filho
hope,esperança
name,nome
same,mesmo
went,fui
um,hum
hmm,Hmm
happy,feliz
pretty,bonito
saw,Serra
girl,garota
sir,Senhor
show,exposição
friend,amigo
already,já
saying,dizendo
may or May,poder ou poder
next,próximo
three,três
job,trabalho
problem,problema
minute,minuto
found,encontrado
world,mundo
thinking,pensamento
haven't,não tem
heard,ouvi
honey,mel
matter,matéria
myself,Eu mesmo
couldn't,não podia
exactly,exatamente
having,tendo
ah,ah
probably,provavelmente
happen,acontecer
we've,nós temos
hurt,ferir
boy,Garoto
both,Ambas
while,enquanto
dead,morto
gotta,Tenho que
alone,sozinho
since,Desde a
excuse,com licença
start,começar
kill,matar
hard,duro
you'd,você teria
today,hoje
car,carro
ready,pronto
until,até
without,sem
whatever,qualquer que seja
wants,quer
hold,segurar
wanna,quer
yet,ainda
seen,visto
deal,lidar
took,tomou
once,uma vez
gone,perdido
called,chamado
morning,manhã
supposed,suposto
friends,amigos
head,cabeça
stuff,material
most,maioria
used,usado
worry,preocupação
second,segundo
part,papel
live,viver
truth,verdade
school,escola
face,enfrentar
forget,esquecer
TRUE,VERDADE
business,o negócio
each,cada
cause,causa
soon,em breve
knows,sabe
few,alguns
telling,revelador
wife,esposa
who's,quem é
use,usar
chance,chance
run,corre
move,mover
anyone,qualquer um
person,pessoa
bye,tchau
J.,J.
somebody,alguém
Dr. or dr.,Dr. ou dr.
heart,coração
such,tal
miss,senhorita
married,casado
point,apontar
later,mais tarde
making,fazer
meet,Conheça
anyway,qualquer forma
many,muitos
phone,telefone
reason,razão
damn,droga
lost,perdido
looks,visual
bring,trazer
case,caso
turn,vez
wish,desejar
tomorrow,amanhã
kids,crianças
trust,Confiar em
check,Verifica
change,mudança
end,fim
late,atrasado
anymore,mais
five,cinco
least,ao menos
town,Cidade
aren't,não são
ha,ha
working,trabalhando
year,ano
makes,faz
taking,tirando
means,meios
brother,irmão
play,Toque
hate,ódio
ago,atrás
says,diz
beautiful,bela
gave,deram
fact,facto
crazy,louco
party,Festa
sit,sentar
open,abrir
afraid,com medo
between,entre
important,importante
rest,descanso
fun,Diversão
kid,criança
word,palavra
watch,Assistir
glad,Alegre
everyone,todos
days,dias
sister,irmã
minutes,minutos
everybody,todo o mundo
bit,pedaço
couple,casal
whoa,Uau
either,qualquer
Mrs.,Sra.
feeling,sentindo-me
daughter,filha
wow,Uau
gets,fica
asked,Perguntou
under,debaixo
break,pausa
promise,promessa
door,porta
set,definir
close,fechar
hand,mão
easy,fácil
question,pergunta
doctor,doutor
tried,tentou
far,longe
walk,andar
needs,precisa
trouble,problema
mine,minha
though,no entanto
times,vezes
different,diferente
killed,assassinado
hospital,hospital
anybody,qualquer pessoa
Sam or SAM,Sam ou SAM
alright,tudo bem
wedding,Casamento
shut,fechar
able,capaz
die,morrer
perfect,perfeito
police,polícia
stand,ficar de pé
comes,vem
hit,bater
story,história
ya,ya
mm,milímetros
waiting,esperando
dinner,jantar
against,contra
funny,engraçado
husband,marido
almost,quase
stupid,estúpido
pay,pagar
answer,responder
four,quatro
office,escritório
cool,legal
eyes,olhos
news,notícia
child,filho
half,metade
side,lado
yours,Sua
moment,momento
sleep,dormir
read,leitura
where's,Onde está a
started,iniciado
young,novo
men,homens
sounds,sons
sonny or Sonny,Sonny ou Sonny
lucky,afortunado
pick,escolha
sometimes,as vezes
em,em
bed,cama
also,tb
date,encontro
line,linha
plan,plano
hours,horas
lose,perder
fire,incêndio
free,gratuitamente
hands,mãos
serious,sério
Leo,Leão
shit,merda
behind,atrás
inside,dentro
high,Alto
ahead,à frente
week,semana
wonderful,Maravilhoso
T.,T.
fight,lutar
past,passado
cut,cortar
quite,bastante
number,número
he'll,inferno
sick,doente
S.,S.
it'll,ele vai
game,jogos
eat,comer
nobody,ninguém
goes,vai
death,morte
along,ao longo
save,Salve 
seems,parece
finally,finalmente
lives,vidas
worried,preocupado
upset,chateado
Theresa,Há um
Carly,Carly
Ethan,Ethan
met,conheceu
book,livro
brought,trouxe
seem,parecer
sort,ordenar
safe,seguro
living,vivo
children,crianças
weren't,não eram
leaving,deixando
front,frente
shot,tomada
loved,amavam
asking,Perguntando
running,correndo
clear,Claro
figure,figura
hot,quente
felt,sentiu
six,seis
parents,pais
drink,bebida
absolutely,absolutamente
how's,como de
daddy,Papai
sweet,doce
alive,vivo
Paul,Paulo
sense,senso
meant,significou
happens,acontece
David,David
special,especial
bet,aposta
blood,sangue
ain't,não é
kidding,brincando
lie,mentira
full,cheio
meeting,encontro
dear,querido
coffee,café
seeing,vendo
sound,som
fault,culpa
water,agua
fuck,Porra
ten,dez
women,mulheres
John or john,John ou john
welcome,receber
buy,Comprar
months,meses
hour,hora
speak,falar
lady,Senhora
Jen,Jen
thinks,pensa
Christmas,Natal
body,corpo
order,pedido
outside,lado de fora
hang,aguentar
possible,possível
worse,pior
company,empresa
mistake,erro
ooh,ooh
handle,lidar
spend,gasta
C.,C.
totally,totalmente
giving,dando
control,ao controle
here's,aqui está
marriage,casado
realize,entender
D.,D.
power,potência
president,Presidente
unless,a não ser que
sex,sexo
girls,garotas
send,mandar
needed,precisava
O. or o,O. S ou
taken,ocupado
died,faleceu
scared,assustado
picture,foto
talked,falou
Jake,Jake
Al,al
ass,bunda
hundred,centenas
changed,mudado
completely,completamente
explain,explique
playing,jogando
certainly,certamente
sign,sinal
boys,Rapazes
relationship,relação
Michael,Michael
loves,O amor é
fucking,maldito
hair,cabelo
lying,mentindo
choice,escolha
anywhere,em qualquer lugar
secret,segredo
future,futuro
weird,estranhas
luck,sorte
she'll,Concha
Max or max.,Max ou máx.
Luis,Luis
turned,virado
known,conhecido
touch,tocar
kiss,beijo
Crane or crane,Grua ou guindaste
questions,perguntas
obviously,obviamente
wonder,maravilha
pain,dor
calling,chamada
somewhere,algum lugar
throw,lançar
straight,em linha reta
Grace or grace,Graça ou graça
cold,frio
white or White,branco ou branco
fast,velozes
Natalie,Natalie
words,palavras
R.,R.
food,Comida
none,Nenhum
drive,dirigir
feelings,sentimentos
they'll,eles vão
worked,trabalhado
marry,casar
light,luz
test,teste
drop,derrubar
cannot,não pode
Frank,franco
sent,enviei
city,cidade
dream,Sonhe
protect,proteger
twenty,vinte
class,classe
Lucy,Lucy
surprise,surpresa
its,Está
sweetheart,amada
forever,para sempre
poor,pobre
looked,visto
mad,louco
except,exceto
gun,arma de fogo
y'know,y'know
dance,dança
takes,leva
appreciate,apreciar
especially,especialmente
situation,situação
besides,além do mais
weeks,semanas
pull,puxar
himself,ele mesmo
hasn't,não tem
act,agir
worth,que vale a pena
Sheridan,Sheridan
amazing,surpreendente
top,principal
given,dado
expect,Espero
Ben,Ben
rather,em vez
Julian,juliano
involved,envolver
swear,xingar
piece,peça
busy,ocupado
law,lei
decided,decidido
black or Black,preto ou preto
Joey,Joey
happening,acontecendo
movie,filme
we'd,qua
catch,pegar
Antonio,Antonio
country,país
less,menos
perhaps,possivelmente
step,Passo
fall,outono
watching,assistindo
kept,mantido
darling,querida
dog,cão
Ms.,Em.
win,vencer
air,ar
honor,honra
personal,pessoal
moving,em movimento
till,até
admit,Admitem
problems,problemas
murder,assassinato
strong,Forte
he'd,ele tinha
evil,mal
definitely,com certeza
feels,sentimentos
information,em formação
honest,honesto
eye,olho
broke,quebrado
missed,esquecidas
longer,mais tempo
dollars,dólares
tired,cansado
Jason,Jason
George,George
evening,noite
human,humano
starting,iniciando
Ross,Ross
red,vermelho
entire,inteira
trip,viagem
Brooke,Brooke
E.,E.
club,clube
Niles,Niles
suppose,supor
calm,calma
imagine,Imagine
Todd,Todd
fair,justa
caught,capturado
B.,B.
blame,culpa
street,rua
sitting,sentado
favor,Favor
apartment,apartamento
court,Tribunal
terrible,Terrível
clean,limpar
Tony or tony,Tony ou tony
learn,aprender
Alison,Alison
Rick,meda
works,trabalho
Rose or rose,Rose ou rosa
Frasier,Frasier
relax,relaxar
York,Iorque
million,milhão
charity,caridade
accident,acidente
wake,despertar
prove,provar
Danny,Danny
smart,inteligente
message,mensagem
missing,ausente
forgot,esquecido
small,pequena
interested,interessado
table,tabela
nbsp,nbsp
become,tornar-se
Craig,Craig
mouth,boca
pregnant,grávida
middle,meio
Billy or billy,Billy ou billy
ring,anel
careful,cuidadoso
shall,deve
dude,cara
team,equipe
ride,andar de
figured,figurado
wear,desgaste
shoot,atirar
stick,bastão
Ray or ray,Ray ou ray
follow,Segue
Bo,Bo
angry,nervoso
instead,em vez de
buddy,camarada
write,escrever
stopped,parado
early,cedo
Angel or angel,Anjo ou anjo
Nick or nick,Nick ou nick
ran,correu
war,guerra
standing,de pé
forgive,perdoar
jail,cadeia
wearing,vestindo
Miguel,Miguel
ladies,senhoras
kinda,tipo
lunch,almoço
Cristian,Cristian
eight,oito
Greenlee,Greenlee
gotten,pego
hoping,na esperança
Phoebe,Febe
thousand,mil
ridge,cume
music,música
Luke,Lucas
paper,papel
tough,difícil
tape,fita
Emily,Emily
state,Estado
count,contar
college,escola Superior
boyfriend,namorado
proud,orgulhoso
agree,aceita
birthday,aniversário
bill,conta
seven,Sete
they've,eles têm
Timmy,Timmy
history,história
share,compartilhado
offer,oferta
hurry,pressa
ow,ow
feet,pés
wondering,imaginando
simple,simples
decision,decisão
building,construção
ones,uns
finish,Finalizar
voice,voz
herself,ela própria
Chris,Chris
would've,teria
list,Lista
Kay,Kay
mess,bagunça
deserve,merecer
evidence,evidência
cute,fofa
Jerry,Jerry
dress,vestir
Richard,Richard
interesting,interessante
Jesus,Jesus
James,James
hotel,hotel
enjoy,aproveitar
Ryan,Ryan
Lindsay,Lindsay
quiet,quieto
concerned,preocupado
road,estrada
Eve or eve,Eva e Eva
staying,ficando
short,baixo
M.,M.
beat,bater
sweetie,docinho
mention,menção
clothes,roupas
finished,finalizado
fell,caiu
neither,nenhum
mmm,mmm
fix,consertar
Victor or victor,Victor ou victor
respect,respeito
spent,gasto
prison,prisão
attention,atenção
holding,contenção
calls,chamadas
near,perto
surprised,surpreso
bar,Barra
Beth,Beth
pass,passar
keeping,guardando
gift,Presente
hadn't,não tinha
putting,colocando
dark,Sombrio
self,auto
owe,dever
using,usando
Nora,Nora
ice,gelo
helping,ajuda
bitch,cadela
normal,normal
aunt,tia
lawyer,advogado
apart,separado
certain,certo
plans,planos
Jax,Jax
girlfriend,Namorada
floor,piso
whether,se
everything's,tudo
present,presente
earth,terra
private,privado
Jessica,Jessica
box,caixa
Dawson,Dawson
cover,cobrir
judge,juiz
upstairs,lá em cima
Alexis,Alexis
Shawn,Shawn
sake,interesse
mommy,mamãe
possibly,possivelmente
worst,pior
